Yrityksen nimi,Y-tunnus,Operaattori,Lähettää,Vastaanottaa,Vastaanotto-osoite,Muokattu,Välittäjän tunnus,Lähetyslupa,OVT-tunnus,Esitystavat
TAMPEREEN RUDOLF STEINER-LASTENTARHAN KANNATUSYHDISTYS RY,0509075-4,Basware Oyj,Ei,Kyllä,003705090754 OVT-tunnus,04.04.2011,BAWCFI22,Kyllä,3705090754,5
Aamos Oy - Tietotekniikan koulutus,1644433-5,OpusCapita Group Oy,Kyllä,Kyllä,003716444335 OVT-tunnus,16.04.2014,3710948874,Kyllä,3716444335,
Conexbird Oy,2548885-8,Maventa,Ei,Kyllä,003725488858 OVT-tunnus,17.09.2015,3721291126,Kyllä,3725488858,
Kiinteistö Oy Oulun Tervakukkatie 34-36,2355683-7,Basware Oyj,Ei,Kyllä,003723556837 OVT-tunnus,19.10.2012,BAWCFI22,Kyllä,3723556837,
K-Kauppiasliiton Maatalous- ja Rautakauppiasyhdistys ry,1524919-1,OpusCapita Group Oy,Kyllä,Kyllä,003715249191 OVT-tunnus,14.09.2007,3710948874,Kyllä,3715249191,
Tietotekniikkatoimisto Hitsaamo Oy,2087817-9,OpusCapita Group Oy,Kyllä,Kyllä,003720878179 OVT-tunnus,19.09.2007,3710948874,Kyllä,3720878179,
,2348664-8,Apix Messaging Oy,Kyllä,Ei,,20.05.2016,3723327487,Ei,372348664835,
KDR Ryhmä Oy,2051845-6,OpusCapita Group Oy,Kyllä,Kyllä,003720518456 OVT-tunnus,21.09.2012,3710948874,Kyllä,3720518456,
Kiinteistö Oy Porvoon Fredrika Runeberginkatu,2760328-2,OpusCapita Group Oy,Ei,Kyllä,003727603282 OVT-tunnus,30.05.2016,3710948874,Kyllä,3727603282,
360 Plus Oy,2659753-8,Nordea,Kyllä,Kyllä,FI6213763000140986 IBAN,04.03.2015,NDEAFIHH,Kyllä,,Finvoice
360 Plus Oy,2659753-8,OpusCapita Group Oy,Kyllä,Kyllä,003726597538 OVT-tunnus,26.02.2015,3710948874,Kyllä,3726597538,Finvoice
A-Granit Oy,2398485-8,OpusCapita Group Oy,Kyllä,Kyllä,003723984858 OVT-tunnus,17.05.2011,3710948874,Kyllä,3723984858,
Aatunkulman Hammaslääkärit Oy,2344356-8,OpusCapita Group Oy,Kyllä,Kyllä,003723443568 OVT-tunnus,02.12.2014,3710948874,Kyllä,3723443568,
Ab A.Kasten Oy,2404537-7,Basware Oyj,Ei,Kyllä,003724045377 OVT-tunnus,31.12.2015,BAWCFI22,Kyllä,3724045377,5
Ab A.Kasten Oy,2404537-7,Nordea,Kyllä,Ei,,03.06.2016,NDEAFIHH,Ei,,5
Activeark Labs Oy,2181980-8,Basware Oyj,Kyllä,Kyllä,003721819808 OVT-tunnus,27.03.2008,BAWCFI22,Kyllä,3721819808,5
Activeark Labs Oy,2181980-8,Nordea,Ei,Kyllä,FI0817453000058596 IBAN,19.03.2010,NDEAFIHH,Kyllä,,5
Adusso Oy,2430372-7,OpusCapita Group Oy,Kyllä,Kyllä,003724303727 OVT-tunnus,15.12.2011,3710948874,Kyllä,,
Ahlgren Harjula Konttinen Oy,2287798-9,OpusCapita Group Oy,Kyllä,Kyllä,003722877989 OVT-tunnus,08.01.2015,3710948874,Kyllä,3722877989,
Alppilan Salamat ry,1824104-8,Basware Oyj,Ei,Kyllä,003718241048 OVT-tunnus,19.12.2014,BAWCFI22,Kyllä,3718241048,
Antikvariaatti Makedonia,1123376-6,OpusCapita Group Oy,Kyllä,Ei,,17.01.2013,3710948874,Ei,3711233766,
As Oy Helsingin Poseidon,1890993-3,Handelsbanken,Ei,Kyllä,FI7431313001216738 IBAN,11.11.2010,HANDFIHH,Kyllä,,
As Oy Ilmajoen Ainonkulma,2466197-0,Basware Oyj,Ei,Kyllä,003724661970 OVT-tunnus,24.05.2016,BAWCFI22,Kyllä,3724661970,
As Oy Ilmajoen Polkuvainio Timantti,2611723-1,Basware Oyj,Ei,Kyllä,003726117231 OVT-tunnus,27.05.2015,BAWCFI22,Kyllä,3726117231,
AS OY JKL TAPIONKULMA II,4138810-1,Danske Bank Oyj,Kyllä,Kyllä,FI5580001970750908 IBAN,27.06.2016,DABAFIHH,Kyllä,,Finvoice
AS OY JKL VALAJANKATU 3,1940099-5,Danske Bank Oyj,Kyllä,Kyllä,FI7980001571042770 IBAN,27.06.2016,DABAFIHH,Kyllä,,Finvoice
